id,source_key,student_id,bed_space_id,monthly_rental,security_deposit,access_card_deposit,salesperson,check_in_date,agreement_start_date,agreement_end_date,agreement_duration,check_out_date,check_in_meter,remarks,status,created_at,parking_deposit,check_out_meter,source_reservation_id
1,ATR:1201-A1,1,1,399.0,1197.0,0.0,Foo,2025-07-05,2026-07-01,2026-07-31,1 month,2026-08-01,,,ended,2026-07-23 02:43:43,,,
2,ATR:1201-A2,2,2,399.0,1197.0,0.0,Foo,2025-07-05,2026-07-01,2026-07-31,1 month,,,,active,2026-07-23 02:43:43,,,
3,ATR:1201-B1,3,3,700.0,2100.0,0.0,Foo,2025-07-05,2026-07-01,2026-07-31,1 month,,,,active,2026-07-23 02:43:43,,,
4,ATR:1201-D1,4,5,599.0,1797.0,0.0,Foo,2025-07-05,2026-07-01,2026-07-31,1 month,,,,active,2026-07-23 02:43:43,,,
5,ATR:1304-B1,5,8,800.0,2400.0,0.0,Foo,2025-09-02,2025-09-01,2026-08-31,1 year,,,,active,2026-07-23 02:43:43,,,
6,ATR:1304-C1,6,9,499.0,998.0,0.0,Catherine,2025-05-05,2025-05-01,2027-04-30,1 year,,,GF.290,active,2026-07-23 02:43:43,,,
7,ATR:1304-D1,7,10,680.0,2040.0,0.0,Foo,2023-08-18,2025-09-01,2026-10-31,2 months,,578.0,GF.151,active,2026-07-23 02:43:43,,,
8,ATR:1309-A1,8,11,690.0,1380.0,0.0,Catherine,2024-08-30,2026-09-01,2027-08-31,1 year,,,GF.249,active,2026-07-23 02:43:43,,,
9,ATR:1309-B1,9,12,800.0,1600.0,0.0,Catherine,2023-10-07,2025-10-01,2026-09-30,1 year,,2618.0,GF.184,active,2026-07-23 02:43:43,,,
10,ATR:1309-C1,10,13,580.0,1740.0,0.0,Catherine,2023-08-20,2026-09-01,2026-09-30,1 month,,2625.0,GF.169,active,2026-07-23 02:43:43,,,
11,ATR:1309-D1,11,14,680.0,2040.0,0.0,Foo,2022-08-13,2026-01-01,2026-08-31,8 months,,710.0,GF.15,active,2026-07-23 02:43:43,,,
12,ATR:1310-A1,12,15,690.0,1380.0,0.0,Foo,2023-10-09,2025-10-01,2026-09-30,1 year,,137.0,GF.185,active,2026-07-23 02:43:43,,,
13,ATR:1310-B1,13,16,449.0,1347.0,0.0,Foo,2025-05-17,2025-06-01,2027-05-31,2 years,,,,active,2026-07-23 02:43:43,,,
14,ATR:1310-B2,14,17,400.0,1200.0,0.0,Foo,2025-08-15,2025-09-01,2027-08-31,2 years,,,GF.310,active,2026-07-23 02:43:43,,,
15,ATR:1310-D1,15,19,680.0,2040.0,0.0,Foo,2022-09-06,2026-09-01,2027-08-31,1 year,,99.0,GF.70,active,2026-07-23 02:43:43,,,
16,ATR:1312-C1,16,22,499.0,1497.0,0.0,Foo,2025-09-02,2025-09-01,2026-08-31,1 year,,,,active,2026-07-23 02:43:43,,,
17,ATR:1312-D1,17,23,499.0,1497.0,0.0,Foo,2025-08-16,2026-09-01,2027-08-31,1 year,,,,active,2026-07-23 02:43:43,,,
18,DAM:D1-0113-A1,18,24,750.0,2250.0,50.0,Catherine,2025-05-23,2026-06-01,2027-05-31,1 year,,,,active,2026-07-23 02:43:43,,,
19,DAM:D1-0113-B1,19,25,690.0,2070.0,100.0,Catherine,2026-05-28,2026-06-01,2027-05-31,1 year,,,GF(I).5,active,2026-07-23 02:43:43,,,
20,DAM:D1-0113-C1,20,26,790.0,1580.0,150.0,Catherine,2025-09-04,2025-09-01,2026-08-31,1 year,,,GF.325,active,2026-07-23 02:43:43,,,
21,DAM:D1-0113-D1,21,27,500.0,1500.0,50.0,Foo,2025-08-29,2025-09-01,2026-08-31,1 year,,,,active,2026-07-23 02:43:43,,,
22,DAM:D1-0210-A1,22,28,750.0,2250.0,100.0,Foo,2026-03-13,2026-04-01,2027-03-31,1 year,,,,active,2026-07-23 02:43:43,,,
23,DAM:D1-0210-B1,23,29,600.0,1200.0,100.0,Catherine,2026-05-02,2026-05-01,2027-04-30,1 year,,,GF.332,active,2026-07-23 02:43:43,,,
24,DAM:D1-0210-C1,24,30,900.0,2700.0,50.0,Foo,2025-08-12,2026-08-01,2027-07-31,1 year,,2007.0,,active,2026-07-23 02:43:43,,,
25,DAM:D1-0415-A1,25,32,690.0,1380.0,50.0,Foo,2024-05-23,2026-06-01,2027-05-31,1 year,,275.0,,active,2026-07-23 02:43:43,,,
26,DAM:D1-0415-B1,26,33,690.0,2070.0,50.0,Foo,2025-09-09,2025-09-01,2026-08-31,1 year,,,,active,2026-07-23 02:43:43,,,
27,DAM:D1-0415-C1,27,34,900.0,2700.0,50.0,Foo,2024-08-22,2025-09-01,2026-08-31,1 year,,,,active,2026-07-23 02:43:43,,,
28,DAM:D1-0415-D1,28,35,500.0,1000.0,50.0,Michael,2025-07-02,2026-07-01,2027-06-30,1 year,,,,active,2026-07-23 02:43:43,,,
29,DAM:D1-0501-A1,29,36,650.0,1300.0,50.0,Michael,2025-08-30,2026-09-01,2027-08-31,1 year,,,,active,2026-07-23 02:43:43,,,
30,DAM:D1-0501-B1,30,37,600.0,1800.0,100.0,Foo,2026-02-10,2026-03-01,2027-02-28,1 year,,,,active,2026-07-23 02:43:43,,,
31,DAM:D1-0501-D1,31,39,550.0,1650.0,50.0,Wong,2023-08-13,2025-09-01,2026-08-31,1 year,,977.0,GF.124,active,2026-07-23 02:43:43,,,
32,DAM:D1-0502-A1,32,40,650.0,1300.0,50.0,Michael,2025-07-05,2025-07-01,2027-06-30,1 year,,,,active,2026-07-23 02:43:43,,,
33,DAM:D1-0502-B1,33,41,690.0,2070.0,100.0,Foo,2026-05-15,2026-06-01,2027-05-31,1 year,,,,active,2026-07-23 02:43:43,,,
34,DAM:D1-0502-C1,34,42,900.0,2700.0,50.0,Foo,2026-01-02,2026-01-01,2026-12-31,1 year,,,,active,2026-07-23 02:43:43,,,
35,DAM:D1-0502-D1,35,43,590.0,1180.0,50.0,Catherine,2025-01-04,2026-01-01,2026-12-31,1 year,,,,active,2026-07-23 02:43:43,,,
36,DAM:D1-0912-B1,36,56,600.0,1200.0,50.0,Michael,2025-06-28,2026-07-01,2026-09-30,3 months,,,,active,2026-07-23 02:43:43,,,
37,DAM:D1-0912-C1,37,57,900.0,2700.0,50.0,Foo,2024-07-12,2026-05-01,2026-08-31,4 months,,1133.0,,active,2026-07-23 02:43:43,,,
38,DAM:D1-0912-D1,38,58,500.0,1000.0,50.0,Catherine,2025-05-24,2025-06-01,2027-05-31,1 year,2026-04-14,,Relocate to D1-0912-D1. GF.295,active,2026-07-23 02:43:43,,,
39,DAM:D1-1017-A1,39,59,690.0,2070.0,50.0,Michael,2025-05-16,2025-06-01,2027-05-31,1 year,,,,active,2026-07-23 02:43:43,,,
40,DAM:D1-1017-B1,40,60,690.0,2070.0,50.0,Michael,2025-05-17,2025-06-01,2027-05-31,1 year,,,,active,2026-07-23 02:43:43,,,
41,DAM:D1-1017-C1,41,61,790.0,1580.0,150.0,Catherine,2025-09-02,2025-09-01,2026-08-31,1 year,,,GF.297,active,2026-07-23 02:43:43,,,
42,DAM:D1-1017-D1,42,62,500.0,1500.0,50.0,Foo,2025-07-03,2025-07-01,2026-08-15,1 year,,,,active,2026-07-23 02:43:43,,,
43,DAM:D1-1417-A1,43,63,690.0,2070.0,50.0,Wong,2022-01-07,2026-01-01,2026-12-31,1 year,,3.0,,active,2026-07-23 02:43:43,,,
44,DAM:D1-1417-B1,44,64,690.0,2070.0,50.0,Wong,2025-07-31,2025-08-01,2026-07-31,1 year,,3139.0,,active,2026-07-23 02:43:43,,,
45,DAM:D1-1417-C1,45,65,900.0,1800.0,50.0,Catherine,2024-08-16,2026-09-01,2026-12-31,4 months,,,GF.245,active,2026-07-23 02:43:43,,,
46,DAM:D1-1417-D1,46,66,590.0,1770.0,100.0,Wong,2026-02-12,2026-02-01,2027-01-31,1 year,,,,active,2026-07-23 02:43:43,,,
47,DAM:D2-0310-A1,47,67,690.0,2070.0,50.0,Foo,2023-08-15,2026-09-01,2026-12-31,4 months,,750.0,GF.163,active,2026-07-23 02:43:43,,,
48,DAM:D2-0310-B1,48,68,690.0,2070.0,100.0,Wong,2025-07-01,2026-07-01,2026-12-31,6 months,,,,active,2026-07-23 02:43:43,,,
49,DAM:D2-0310-D1,49,70,590.0,1180.0,50.0,Foo,2024-09-05,2025-09-01,2026-08-31,1 year,,,GF.246,active,2026-07-23 02:43:43,,,
