id,unit_id,room_label,status,bathroom_type,sales_rate,room_type,promotion_rate,promotion_start_date,promotion_end_date,meter_serial
1,1,A,active,non-attached,,sharing,,,,
2,1,B,active,attached,,single,,,,
3,1,C,active,non-attached,,single,,,,
4,1,D,active,non-attached,,single,,,,
5,2,A,active,non-attached,,sharing,,,,
6,2,B,active,unknown,,single,,,,
7,2,C,active,unknown,,single,,,,222.22
8,2,D,active,unknown,,single,,,,222
9,3,A,active,unknown,,single,,,,
10,3,B,active,unknown,,single,,,,
11,3,C,active,unknown,,single,,,,
12,3,D,active,unknown,,single,,,,
13,4,A,active,unknown,,single,,,,
14,4,B,active,unknown,,sharing,,,,
15,4,C,active,unknown,,single,,,,
16,4,D,active,unknown,,single,,,,
17,5,A,active,unknown,800.0,single,,,,
18,5,B,active,unknown,,single,,,,
19,5,C,active,unknown,,single,,,,
20,5,D,active,unknown,,single,,,,
21,6,A,active,unknown,,single,,,,
22,6,B,active,unknown,,single,,,,
23,6,C,active,unknown,,single,,,,
24,6,D,active,unknown,,single,,,,
25,7,A,active,unknown,,single,,,,
26,7,B,active,unknown,,single,,,,
27,7,C,active,unknown,,single,,,,
28,7,D,active,unknown,,single,,,,
29,8,A,active,unknown,,single,,,,
30,8,B,active,unknown,,single,,,,
31,8,C,active,unknown,,single,,,,
32,8,D,active,unknown,,single,,,,
33,9,A,active,unknown,,single,,,,
34,9,B,active,unknown,,single,,,,
35,9,C,active,unknown,,single,,,,
36,9,D,active,unknown,,single,,,,
37,10,A,active,unknown,,single,,,,
38,10,B,active,unknown,,single,,,,
39,10,C,active,unknown,,single,,,,
40,10,D,active,unknown,,single,,,,
41,11,A,active,unknown,,sharing,,,,
42,11,B,active,unknown,,sharing,,,,
43,11,C,active,unknown,,sharing,,,,
44,11,D,active,unknown,,single,,,,
45,12,A,active,unknown,,single,,,,
46,12,B,active,unknown,,single,,,,
47,12,C,active,unknown,,single,,,,
48,12,D,active,unknown,,single,,,,
49,13,A,active,unknown,,single,,,,
50,13,B,active,unknown,,single,,,,
51,13,C,active,unknown,,single,,,,
52,13,D,active,unknown,,single,,,,
53,14,A,active,unknown,,single,,,,
54,14,B,active,unknown,,single,,,,
55,14,C,active,unknown,,single,,,,
56,14,D,active,unknown,,single,,,,
57,15,A,active,unknown,,single,,,,
58,15,B,active,unknown,,single,,,,
59,15,C,active,unknown,,single,,,,
60,15,D,active,unknown,,single,,,,
61,16,A,active,unknown,,single,,,,
62,16,B,active,unknown,,single,,,,
63,16,C,active,unknown,,single,,,,
64,16,D,active,unknown,,single,,,,
65,17,A,active,unknown,,single,,,,
66,17,B,active,unknown,,single,,,,
67,17,C,active,unknown,,single,,,,
68,17,D,active,unknown,,single,,,,
69,18,A,active,unknown,,single,,,,
70,18,B,active,unknown,,single,,,,
71,18,C,active,unknown,,single,,,,
72,18,D,active,unknown,,single,,,,
73,19,A,active,unknown,,single,,,,
74,19,B,active,unknown,,single,,,,
75,19,C,active,unknown,,single,,,,
76,19,D,active,unknown,,single,,,,
77,20,A,active,unknown,,single,,,,
78,20,B,active,unknown,,single,,,,
79,20,C,active,unknown,,single,,,,
80,20,D,active,unknown,,single,,,,
81,21,A,active,unknown,,single,,,,
82,21,B,active,unknown,,single,,,,
83,21,C,active,unknown,,single,,,,
84,21,D,active,unknown,,single,,,,
85,22,A,active,unknown,,single,,,,
86,22,B,active,unknown,,single,,,,
87,22,C,active,unknown,,single,,,,
88,22,D,active,unknown,,single,,,,
89,23,A,active,unknown,,single,,,,
90,23,B,active,unknown,,single,,,,
91,23,C,active,unknown,,single,,,,
92,23,D,active,unknown,,single,,,,
93,24,A,active,unknown,,single,,,,
94,24,B,active,unknown,,single,,,,
95,24,C,active,unknown,,single,,,,
96,24,D,active,unknown,,single,,,,
