id,role_id,module_key,can_view,can_create,can_edit,can_delete,can_approve
1,1,hostels,true,true,true,true,true
2,1,hostels-sales,true,true,true,true,true
3,1,hostels-rates,true,true,true,true,true
4,1,hostels-occupancy,true,true,true,true,true
5,1,units-general,true,true,true,true,true
6,1,units-owner,true,true,true,true,true
7,1,students,true,true,true,true,true
8,1,parking,true,true,true,true,true
9,1,maintenance,true,true,true,true,true
10,1,finance,true,true,true,true,true
11,1,announcements,true,true,true,true,true
12,1,reports,true,true,true,true,true
13,1,users,true,true,true,true,true
14,2,hostels,true,true,true,true,true
15,2,hostels-sales,true,true,true,true,true
16,2,hostels-rates,true,true,true,true,true
17,2,hostels-occupancy,true,true,true,true,true
18,2,units-general,true,true,true,true,true
19,2,units-owner,true,true,true,true,true
20,2,students,true,true,true,true,true
21,2,parking,true,true,true,true,true
22,2,maintenance,true,true,true,true,true
23,2,finance,true,true,true,true,true
24,2,announcements,true,true,true,true,true
25,2,reports,true,true,true,true,true
26,2,users,true,true,true,true,true
27,3,hostels,false,false,false,false,false
28,3,hostels-sales,false,false,false,false,false
29,3,hostels-rates,false,false,false,false,false
30,3,hostels-occupancy,false,false,false,false,false
31,3,units-general,true,true,true,true,false
32,3,units-owner,true,false,false,false,false
33,3,students,true,true,true,true,false
34,3,parking,false,false,false,false,false
35,3,maintenance,false,false,false,false,false
36,3,finance,true,true,true,true,true
37,3,announcements,false,false,false,false,false
38,3,reports,true,false,false,false,false
39,3,users,false,false,false,false,false
40,4,hostels,true,true,true,true,false
41,4,hostels-sales,true,true,true,true,false
42,4,hostels-rates,true,true,true,true,false
43,4,hostels-occupancy,true,true,true,true,false
44,4,units-general,true,true,true,true,false
45,4,units-owner,false,false,false,false,false
46,4,students,true,true,true,true,false
47,4,parking,true,true,true,true,false
48,4,maintenance,false,false,false,false,false
49,4,finance,false,false,false,false,false
50,4,announcements,true,true,true,true,false
51,4,reports,true,false,false,false,false
52,4,users,false,false,false,false,false
53,5,hostels,true,true,true,true,false
54,5,hostels-sales,false,false,false,false,false
55,5,hostels-rates,true,true,true,true,false
56,5,hostels-occupancy,true,true,true,true,false
57,5,units-general,true,true,true,true,false
58,5,units-owner,true,false,false,false,false
59,5,students,true,true,true,true,false
60,5,parking,true,true,true,true,false
61,5,maintenance,true,true,true,true,false
62,5,finance,false,false,false,false,false
63,5,announcements,true,true,true,true,false
64,5,reports,true,false,false,false,false
65,5,users,false,false,false,false,false
66,6,hostels,false,false,false,false,false
67,6,hostels-sales,false,false,false,false,false
68,6,hostels-rates,false,false,false,false,false
69,6,hostels-occupancy,false,false,false,false,false
70,6,units-general,false,false,false,false,false
71,6,units-owner,false,false,false,false,false
72,6,students,false,false,false,false,false
73,6,parking,false,false,false,false,false
74,6,maintenance,true,true,true,false,false
75,6,finance,false,false,false,false,false
76,6,announcements,false,false,false,false,false
77,6,reports,false,false,false,false,false
78,6,users,false,false,false,false,false
79,7,hostels,false,false,false,false,false
80,7,hostels-sales,false,false,false,false,false
81,7,hostels-rates,false,false,false,false,false
82,7,hostels-occupancy,false,false,false,false,false
83,7,units-general,false,false,false,false,false
84,7,units-owner,false,false,false,false,false
85,7,students,false,false,false,false,false
86,7,parking,false,false,false,false,false
87,7,maintenance,true,true,true,false,false
88,7,finance,true,true,false,false,false
89,7,announcements,true,false,false,false,false
90,7,reports,false,false,false,false,false
91,7,users,false,false,false,false,false
